run_a,run_b,method_a,method_b,ari,nmi
gmm_s0,kmeans_s20,GaussianMixture,KMeans,0.7545880520437963,0.7898480922351186
gmm_s0,gmm_s20,GaussianMixture,GaussianMixture,0.7702454919079899,0.8118193926724416
gmm_s0,kmeans_s21,GaussianMixture,KMeans,0.5555696174710937,0.7156299637014626
gmm_s0,gmm_s21,GaussianMixture,GaussianMixture,0.5567152207494189,0.7159570744098791
gmm_s0,kmeans_s22,GaussianMixture,KMeans,0.9185751600970103,0.8907701664564623
gmm_s0,gmm_s22,GaussianMixture,GaussianMixture,0.9332859331178225,0.9139765877324859
gmm_s0,kmeans_s23,GaussianMixture,KMeans,0.5818734176423154,0.7274034716990057
gmm_s0,gmm_s23,GaussianMixture,GaussianMixture,0.5817594891216136,0.7407074811900625
gmm_s0,kmeans_s24,GaussianMixture,KMeans,0.7710208099909173,0.7814984545242808
gmm_s0,gmm_s24,GaussianMixture,GaussianMixture,0.7603869961010258,0.7787883093600758
gmm_s0,kmeans_s25,GaussianMixture,KMeans,0.45891277111519496,0.631463677306165
gmm_s0,gmm_s25,GaussianMixture,GaussianMixture,0.45891277111519496,0.631463677306165
gmm_s0,kmeans_s26,GaussianMixture,KMeans,0.4744947842223442,0.6292408365884521
gmm_s0,gmm_s26,GaussianMixture,GaussianMixture,0.4744947842223442,0.6292408365884521
gmm_s0,kmeans_s27,GaussianMixture,KMeans,0.554144900351214,0.7018878534773774
gmm_s0,gmm_s27,GaussianMixture,GaussianMixture,0.5547975504007554,0.7157120001598893
gmm_s0,kmeans_s28,GaussianMixture,KMeans,0.45190603577409505,0.6338811431872133
gmm_s0,gmm_s28,GaussianMixture,GaussianMixture,0.4657843565848844,0.6536331941622953
gmm_s0,kmeans_s29,GaussianMixture,KMeans,0.8459275393501102,0.8403948335639817
gmm_s0,gmm_s29,GaussianMixture,GaussianMixture,0.8398468252600478,0.847376241536054
gmm_s0,agglomerative_average,GaussianMixture,Agglomerative,0.9488603043023311,0.9241034302628517
spectral_s0,kmeans_s1,Spectral,KMeans,0.7567191417714996,0.7961876448773881
spectral_s0,gmm_s1,Spectral,GaussianMixture,0.7386953901939004,0.7767773235855494
spectral_s0,spectral_s1,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s2,Spectral,KMeans,0.7445896712480398,0.7738499217489752
spectral_s0,gmm_s2,Spectral,GaussianMixture,0.7445896712480398,0.7738499217489752
spectral_s0,spectral_s2,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s3,Spectral,KMeans,0.73257990174245,0.7510380951792491
spectral_s0,gmm_s3,Spectral,GaussianMixture,0.73257990174245,0.7510380951792491
spectral_s0,spectral_s3,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s4,Spectral,KMeans,0.73257990174245,0.7510380951792491
spectral_s0,gmm_s4,Spectral,GaussianMixture,0.73257990174245,0.7510380951792491
spectral_s0,spectral_s4,Spectral,Spectral,1.0,1.0000000000000002
