method,seed,n_clusters,agency_purity,modality_purity,cluster_size_min,cluster_size_max,silhouette,davies_bouldin,calinski_harabasz,run_id
KMeans,10,5,0.779874213836478,0.8679245283018868,11,50,0.3416677415370941,1.7973927117258501,29.877973556518555,kmeans_s10
GaussianMixture,10,5,0.779874213836478,0.8679245283018868,11,50,0.3416677415370941,1.7973927117258501,29.877973556518555,gmm_s10
Spectral,10,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348176956176758,spectral_s10
KMeans,11,5,0.89937106918239,0.7547169811320755,9,68,0.41523095965385437,1.7230778274016814,30.624317169189453,kmeans_s11
GaussianMixture,11,5,0.8930817610062893,0.7547169811320755,9,69,0.4113798439502716,1.7249582490968005,30.398700714111328,gmm_s11
Spectral,11,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s11
KMeans,12,5,0.8742138364779874,0.9056603773584906,15,45,0.3967084586620331,1.700550013411505,34.007450103759766,kmeans_s12
GaussianMixture,12,5,0.8742138364779874,0.9056603773584906,15,45,0.3947853147983551,1.7054476012454554,33.91834259033203,gmm_s12
Spectral,12,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s12
KMeans,13,5,0.8616352201257862,0.7547169811320755,12,57,0.3204539120197296,2.126242507653241,29.642822265625,kmeans_s13
GaussianMixture,13,5,0.8553459119496856,0.7547169811320755,12,57,0.3188086450099945,2.141701822114203,29.594972610473633,gmm_s13
Spectral,13,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s13
KMeans,14,5,0.8176100628930818,0.9119496855345912,24,45,0.3757207691669464,1.9373764481239948,32.63931655883789,kmeans_s14
GaussianMixture,14,5,0.8050314465408805,0.9119496855345912,25,44,0.3700602650642395,1.9565657132057197,32.42076873779297,gmm_s14
Spectral,14,5,0.779874213836478,0.8553459119496856,11,53,0.3660007119178772,1.9607344982808848,30.348173141479492,spectral_s14
KMeans,15,5,0.8742138364779874,0.9056603773584906,15,45,0.3967084586620331,1.700550013411505,34.00745391845703,kmeans_s15
GaussianMixture,15,5,0.8742138364779874,0.9056603773584906,15,45,0.3947853147983551,1.7054476012454554,33.9183464050293,gmm_s15
KMeans,16,5,0.779874213836478,0.9119496855345912,22,50,0.32536399364471436,1.9298878394005687,29.858701705932617,kmeans_s16
GaussianMixture,16,5,0.779874213836478,0.9119496855345912,21,50,0.3234339654445648,1.9190306055419684,29.907623291015625,gmm_s16
KMeans,17,5,0.8867924528301887,0.9056603773584906,17,46,0.39401254057884216,1.747846743094906,33.8575325012207,kmeans_s17
GaussianMixture,17,5,0.8867924528301887,0.9056603773584906,17,46,0.39219558238983154,1.7548672636354865,33.76198196411133,gmm_s17
KMeans,18,5,0.7924528301886793,0.9119496855345912,18,48,0.3034546673297882,2.2244759579737887,28.743770599365234,kmeans_s18
GaussianMixture,18,5,0.7924528301886793,0.9119496855345912,18,48,0.3034546673297882,2.2244759579737887,28.743770599365234,gmm_s18
KMeans,19,5,0.7987421383647799,0.9119496855345912,9,44,0.37697410583496094,1.8917174184505818,31.099224090576172,kmeans_s19
GaussianMixture,19,5,0.7987421383647799,0.9119496855345912,9,44,0.3737189471721649,1.9022171882710637,30.93445587158203,gmm_s19
KMeans,20,5,0.779874213836478,0.7547169811320755,1,54,0.28328582644462585,1.9636265315345078,25.341209411621094,kmeans_s20
GaussianMixture,20,5,0.779874213836478,0.7547169811320755,1,54,0.28051912784576416,1.9654544101500862,25.2584285736084,gmm_s20
KMeans,21,5,0.8238993710691824,0.9119496855345912,21,45,0.3484187722206116,1.897011164669557,31.494184494018555,kmeans_s21
GaussianMixture,21,5,0.8050314465408805,0.9056603773584906,19,44,0.33383914828300476,1.919287834333171,31.106842041015625,gmm_s21
KMeans,22,5,0.8176100628930818,0.7924528301886793,2,70,0.33363664150238037,1.4996021500479486,27.650089263916016,kmeans_s22
GaussianMixture,22,5,0.8176100628930818,0.7924528301886793,2,70,0.33154720067977905,1.5070242425169034,27.55643653869629,gmm_s22
KMeans,23,5,0.8113207547169812,0.9433962264150944,7,54,0.3974984586238861,1.5782952474844918,33.587608337402344,kmeans_s23
GaussianMixture,23,5,0.8050314465408805,0.9433962264150944,7,55,0.3951815962791443,1.5911567608266162,33.42689514160156,gmm_s23
KMeans,24,5,0.9308176100628931,0.7547169811320755,11,69,0.3707372844219208,1.9081320184323638,29.366880416870117,kmeans_s24
GaussianMixture,24,5,0.9245283018867925,0.7547169811320755,11,68,0.368557333946228,1.948524955783471,29.376262664794922,gmm_s24
