review_group,title,agency,file_group,cluster,graph_community,anomaly_rank,usefulness_proxy_score,output_path
top_anomaly,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,PDF,,1,24.0,7,ufo_release/Department of War/PDF/331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf
top_anomaly,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,2.0,0,25.0,7,ufo_release/Department of State/PDF/State_Department_UAP_Cable_2__Kazakhstan__January_31__1994.pdf
cluster_center,"DOW-UAP-D65, Mission Report, Persian Gulf, July 2020",Department of War,PDF,0.0,0,,7,ufo_release/Department of War/PDF/DOW-UAP-D65__Mission_Report__Persian_Gulf__July_2020.pdf
cluster_center,"DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023",Department of War,PDF,0.0,0,,7,ufo_release/Department of War/PDF/DOW-UAP-D27__Mission_Report__United_Arab_Emirates__October_2023.pdf
cluster_center,"DOW-UAP-D61, Mission Report, Persian Gulf, August 2020",Department of War,PDF,0.0,0,,7,ufo_release/Department of War/PDF/DOW-UAP-D61__Mission_Report__Persian_Gulf__August_2020.pdf
cluster_center,"DOW-UAP-D3, Mission Report, Arabian Gulf, 2020",Department of War,PDF,0.0,0,,5,ufo_release/Department of War/PDF/DOW-UAP-D3__Mission_Report__Arabian_Gulf__2020.pdf
cluster_center,"DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020",Department of War,PDF,0.0,0,,7,ufo_release/Department of War/PDF/DOW-UAP-D63__Mission_Report__Strait_of_Hormuz__October_2020.pdf
cluster_center,FBI Photo B14,FBI,PDF,1.0,2,,7,ufo_release/FBI/PDF/FBI_Photo_B14.pdf
cluster_center,FBI Photo B16,FBI,PDF,1.0,2,,7,ufo_release/FBI/PDF/FBI_Photo_B16.pdf
cluster_center,FBI Photo B15,FBI,PDF,1.0,2,,7,ufo_release/FBI/PDF/FBI_Photo_B15.pdf
cluster_center,FBI Photo B21,FBI,PDF,1.0,2,,7,ufo_release/FBI/PDF/FBI_Photo_B21.pdf
cluster_center,FBI Photo B12,FBI,PDF,1.0,2,,7,ufo_release/FBI/PDF/FBI_Photo_B12.pdf
cluster_center,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",Department of State,PDF,2.0,0,25.0,7,ufo_release/Department of State/PDF/State_Department_UAP_Cable_2__Kazakhstan__January_31__1994.pdf
cluster_center,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",Department of State,PDF,2.0,0,19.0,7,ufo_release/Department of State/PDF/State_Department_UAP_Cable_3__Tbilisi__Georgia__October_30__2001.pdf
cluster_center,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Department of State,PDF,2.0,0,10.0,7,ufo_release/Department of State/PDF/State_Department_UAP_Cable_4__Ashgabat__Turkmenistan__November_5__2004.pdf
cluster_center,"State Department UAP Cable 5, Mexico, September 16, 2003",Department of State,PDF,2.0,0,14.0,7,ufo_release/Department of State/PDF/State_Department_UAP_Cable_5__Mexico__September_16__2003.pdf
cluster_center,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",Department of State,PDF,2.0,0,7.0,7,ufo_release/Department of State/PDF/State_Department_UAP_Cable_1__Papua_New_Guinea__January_28__1985.pdf
cluster_center,65_HS1-834228961_62-HQ-83894_Section_6,FBI,PDF,3.0,1,,5,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_6.pdf
cluster_center,65_HS1-834228961_62-HQ-83894_Section_9,FBI,PDF,3.0,1,,5,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_9.pdf
cluster_center,65_HS1-834228961_62-HQ-83894_Section_10,FBI,PDF,3.0,1,,5,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_10.pdf
cluster_center,65_HS1-834228961_62-HQ-83894_Section_8,FBI,PDF,3.0,1,,5,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_8.pdf
cluster_center,65_HS1-834228961_62-HQ-83894_Section_7,FBI,PDF,3.0,1,,5,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_7.pdf
cluster_center,"NASA-UAP-VM3, Apollo 12, 1969",NASA,IMG,4.0,1,,8,ufo_release/NASA/IMG/NASA-UAP-VM3__Apollo_12__1969.jpg
cluster_center,"NASA-UAP-VM1, Apollo 12, 1969",NASA,IMG,4.0,1,,8,ufo_release/NASA/IMG/NASA-UAP-VM1__Apollo_12__1969.jpg
cluster_center,"NASA-UAP-VM4, Apollo 12, 1969",NASA,IMG,4.0,1,,8,ufo_release/NASA/IMG/NASA-UAP-VM4__Apollo_12__1969.jpg
cluster_center,"NASA-UAP-VM5, Apollo 12, 1969",NASA,IMG,4.0,1,,8,ufo_release/NASA/IMG/NASA-UAP-VM5__Apollo_12__1969.jpg
cluster_center,"NASA-UAP-VM6, Apollo 17, 1972",NASA,IMG,4.0,1,,8,ufo_release/NASA/IMG/NASA-UAP-VM6__Apollo_17__1972.jpg
random_baseline,38_143685_box7_Incident_Summaries_1-100,Department of War,PDF,,1,,5,ufo_release/Department of War/PDF/38_143685_box7_Incident_Summaries_1-100.pdf
random_baseline,38_143685_box_Incident_Summaries_101-172,Department of War,PDF,,1,,5,ufo_release/Department of War/PDF/38_143685_box_Incident_Summaries_101-172.pdf
random_baseline,"DOW-UAP-D44, Range Fouler Reporting Form, Gulf of Aden, October 2020",Department of War,PDF,,0,,7,ufo_release/Department of War/PDF/DOW-UAP-D44__Range_Fouler_Reporting_Form__Gulf_of_Aden__October_2020.pdf
random_baseline,"DOW-UAP-D4, Mission Report, Arabian Gulf, 2020",Department of War,PDF,,0,,5,ufo_release/Department of War/PDF/DOW-UAP-D4__Mission_Report__Arabian_Gulf__2020.pdf
random_baseline,"DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025",Department of War,PDF,,0,,6,ufo_release/Department of War/PDF/DOW-UAP-D50__Email_Correspondence__INDOPACOM__April_2025.pdf
random_baseline,"DOW-UAP-D55, Mission Report, Syria, November 2016",Department of War,PDF,,0,,7,ufo_release/Department of War/PDF/DOW-UAP-D55__Mission_Report__Syria__November_2016.pdf
