Title,Agency,Release Date,Incident Date,Incident Location,PDF | Image Link,Type,Document Link,Source Filename,File Group,Output Path
"DOW-UAP-PR43, Unresolved UAP Report, Africa, 2025",Department of War,5/8/26,,Djibouti,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR43__Unresolved_UAP_Report__Africa__2025.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR43__Unresolved_UAP_Report__Africa__2025.mp4,DOW-UAP-PR43__Unresolved_UAP_Report__Africa__2025.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR43__Unresolved_UAP_Report__Africa__2025.mp4
"DOW-UAP-PR44, Unresolved UAP Report, Middle East, 2020",Department of War,5/8/26,,Arabian Gulf,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR44__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR44__Unresolved_UAP_Report__Middle_East__2020.mp4,DOW-UAP-PR44__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR44__Unresolved_UAP_Report__Middle_East__2020.mp4
"DOW-UAP-PR45, Unresolved UAP Report, Middle East, 2020",Department of War,5/8/26,,Southern United States,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR45__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR45__Unresolved_UAP_Report__Middle_East__2020.mp4,DOW-UAP-PR45__Unresolved_UAP_Report__Middle_East__2020.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR45__Unresolved_UAP_Report__Middle_East__2020.mp4
"DOW-UAP-PR46, Unresolved UAP Report, INDOPACOM, 2024",Department of War,5/8/26,,East China Sea,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR46__Unresolved_UAP_Report__INDOPACOM__2024.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR46__Unresolved_UAP_Report__INDOPACOM__2024.mp4,DOW-UAP-PR46__Unresolved_UAP_Report__INDOPACOM__2024.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR46__Unresolved_UAP_Report__INDOPACOM__2024.mp4
"DOW-UAP-PR47, Unresolved UAP Report, INDOPACOM, 2023",Department of War,5/8/26,,Japan,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR47__Unresolved_UAP_Report__INDOPACOM__2023.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR47__Unresolved_UAP_Report__INDOPACOM__2023.mp4,DOW-UAP-PR47__Unresolved_UAP_Report__INDOPACOM__2023.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR47__Unresolved_UAP_Report__INDOPACOM__2023.mp4
"DOW-UAP-PR48, Unresolved UAP Report, INDOPACOM, 2024",Department of War,5/8/26,,Indo-PACOM,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4,DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4
"DOW-UAP-PR49, Unresolved UAP Report, Department of the Army, 2026",Department of War,5/8/26,,North America,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR49__Unresolved_UAP_Report__Department_of_the_Army__2026.mp4,VID,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_videos/DOW-UAP-PR49__Unresolved_UAP_Report__Department_of_the_Army__2026.mp4,DOW-UAP-PR49__Unresolved_UAP_Report__Department_of_the_Army__2026.mp4,VID,ufo_release/Department of War/VID/DOW-UAP-PR49__Unresolved_UAP_Report__Department_of_the_Army__2026.mp4
FBI Photo A1,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A1.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A1.png,FBI_Photo_A1.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A1.png
FBI Photo A2,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A2.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A2.png,FBI_Photo_A2.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A2.png
FBI Photo A3,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A3.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A3.png,FBI_Photo_A3.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A3.png
