document_id,Title,Agency,File Group,Output Path,variant,cluster,pca_1,pca_2
doc_0011,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,PDF,ufo_release/Department of War/PDF/331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf,raw,3,-0.15630881,0.18159461
doc_0012,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Department of War,PDF,ufo_release/Department of War/PDF/341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf,raw,3,-0.13868862,0.18039052
doc_0014,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,raw,3,-0.15011154,0.2451105
doc_0013,"341_110677_Numerical_File,_5-2500",Department of War,PDF,ufo_release/Department of War/PDF/341_110677_Numerical_File__5-2500.pdf,raw,2,-0.1498494,0.16126099
doc_0015,38_143685_box7_Incident_Summaries_1-100,Department of War,PDF,ufo_release/Department of War/PDF/38_143685_box7_Incident_Summaries_1-100.pdf,raw,3,-0.14867866,0.24030697
doc_0016,38_143685_box_Incident_Summaries_101-172,Department of War,PDF,ufo_release/Department of War/PDF/38_143685_box_Incident_Summaries_101-172.pdf,raw,3,-0.14596342,0.2418179
doc_0017,38_143685_box_Incident_Summaries_173-233,Department of War,PDF,ufo_release/Department of War/PDF/38_143685_box_Incident_Summaries_173-233.pdf,raw,3,-0.15113893,0.24279444
doc_0019,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D19__Mission_Report__Syria__February_21__2023.pdf,raw,0,-0.18699183,-0.10720205
doc_0018,"DOW-UAP-D12, Mission Report, Iraq, May 2022",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D12__Mission_Report__Iraq__May_2022.pdf,raw,0,-0.19688444,-0.12378688
doc_0021,"DOW-UAP-D25, Mission Report, Greece, January 2024",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D25__Mission_Report__Greece__January_2024.pdf,raw,0,-0.17213377,-0.13371922
doc_0022,"DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D27__Mission_Report__United_Arab_Emirates__October_2023.pdf,raw,0,-0.18267985,-0.14757125
doc_0024,"DOW-UAP-D3, Mission Report, Arabian Gulf, 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D3__Mission_Report__Arabian_Gulf__2020.pdf,raw,0,-0.16367446,-0.13686809
doc_0023,"DOW-UAP-D28, Mission Report, Iraq, September 2024",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D28__Mission_Report__Iraq__September_2024.pdf,raw,0,-0.16837382,-0.1401221
doc_0020,"DOW-UAP-D20, Mission Report, Southern United States, 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D20__Mission_Report__Southern_United_States__2020.pdf,raw,0,-0.16788065,-0.13559122
doc_0026,"DOW-UAP-D44, Range Fouler Reporting Form, Gulf of Aden, October 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D44__Range_Fouler_Reporting_Form__Gulf_of_Aden__October_2020.pdf,raw,0,-0.11706702,-0.12194173
doc_0025,"DOW-UAP-D42, Range Fouler Debrief, Japan, 2023",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D42__Range_Fouler_Debrief__Japan__2023.pdf,raw,0,-0.069722466,-0.1192241
doc_0027,"DOW-UAP-D48, Department of the Air Force Report, 1996",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D48__Department_of_the_Air_Force_Report__1996.pdf,raw,3,-0.13942622,0.061012346
doc_0028,"DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D49__Launch_Summary__Vandenberg_AFB__2000.pdf,raw,3,-0.114717446,0.062948845
doc_0029,"DOW-UAP-D4, Mission Report, Arabian Gulf, 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D4__Mission_Report__Arabian_Gulf__2020.pdf,raw,0,-0.13071826,-0.19292705
doc_0030,"DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D50__Email_Correspondence__INDOPACOM__April_2025.pdf,raw,0,-0.11791271,-0.05283142
doc_0032,"DOW-UAP-D52, Email Correspondance, NA, August 2024",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D52__Email_Correspondance__NA__August_2024.pdf,raw,0,-0.084207915,-0.04457207
doc_0031,"DOW-UAP-D51, Email Correspondence, Pacific Time Zone, March 2023",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D51__Email_Correspondence__Pacific_Time_Zone__March_2023.pdf,raw,0,-0.12011076,-0.07341814
doc_0033,"DOW-UAP-D54, Mission Report, Mediterranean Sea, NA",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D54__Mission_Report__Mediterranean_Sea__NA.pdf,raw,0,-0.13350634,-0.053326
doc_0034,"DOW-UAP-D55, Mission Report, Syria, November 2016",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D55__Mission_Report__Syria__November_2016.pdf,raw,0,-0.061148264,-0.11632406
doc_0035,"DOW-UAP-D56, Range Fouler Debrief, Arabian Sea, August 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D56__Range_Fouler_Debrief__Arabian_Sea__August_2020.pdf,raw,0,-0.103672236,-0.13686338
doc_0036,"DOW-UAP-D57, Range Fouler Reporting Form, Gulf of Aden, September 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D57__Range_Fouler_Reporting_Form__Gulf_of_Aden__September_2020.pdf,raw,0,-0.1239615,-0.113180794
doc_0037,"DOW-UAP-D58, Range Fouler Debrief, NA, October 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D58__Range_Fouler_Debrief__NA__October_2020.pdf,raw,0,-0.09492043,-0.054996155
doc_0038,"DOW-UAP-D5, Mission Report, Arabian Gulf, 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D5__Mission_Report__Arabian_Gulf__2020.pdf,raw,0,-0.14566727,-0.18451251
doc_0040,"DOW-UAP-D61, Mission Report, Persian Gulf, August 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D61__Mission_Report__Persian_Gulf__August_2020.pdf,raw,0,-0.16115676,-0.13919339
doc_0041,"DOW-UAP-D62, Mission Report, Strait of Hormuz, September 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D62__Mission_Report__Strait_of_Hormuz__September_2020.pdf,raw,0,-0.18839872,-0.1524232
doc_0039,"DOW-UAP-D60, Mission Report, Persian Gulf, August 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D60__Mission_Report__Persian_Gulf__August_2020.pdf,raw,0,-0.2165574,-0.14845605
doc_0043,"DOW-UAP-D64, Mission Report, Iran, November 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D64__Mission_Report__Iran__November_2020.pdf,raw,0,-0.13573131,-0.13981856
doc_0042,"DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D63__Mission_Report__Strait_of_Hormuz__October_2020.pdf,raw,0,-0.14070979,-0.15296713
doc_0045,"DOW-UAP-D6, Mission Report, Arabian Gulf, 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D6__Mission_Report__Arabian_Gulf__2020.pdf,raw,0,-0.10116636,-0.15473047
doc_0044,"DOW-UAP-D65, Mission Report, Persian Gulf, July 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D65__Mission_Report__Persian_Gulf__July_2020.pdf,raw,0,-0.18945402,-0.1315742
doc_0046,"DOW-UAP-D74, Mission Report, Syria, November 2023",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D74__Mission_Report__Syria__November_2023.pdf,raw,0,-0.20648393,-0.11136379
doc_0047,"DOW-UAP-D75, Mission Report, Gulf of Aden, July 2024",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D75__Mission_Report__Gulf_of_Aden__July_2024.pdf,raw,0,-0.1960487,-0.1386728
doc_0049,"DOW-UAP-D8, Mission Report, Djibouti, 2025",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D8__Mission_Report__Djibouti__2025.pdf,raw,0,-0.08604394,-0.123960525
doc_0048,"DOW-UAP-D7, Mission Report, Arabian Gulf, 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-D7__Mission_Report__Arabian_Gulf__2020.pdf,raw,0,-0.13350673,-0.20510453
doc_0050,"DOW-UAP-PR19, Unresolved UAP Report, Middle East, May 2022",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR19__Unresolved_UAP_Report__Middle_East__May_2022.pdf,raw,0,-0.1977392,-0.12522681
doc_0051,"DOW-UAP-PR20, Unresolved UAP Report, Kuwait, May 2022",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR20__Unresolved_UAP_Report__Kuwait__May_2022.pdf,raw,0,-0.052399963,-0.118264064
doc_0052,"DOW-UAP-PR21, Unresolved UAP Report, Iraq, May 2022",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR21__Unresolved_UAP_Report__Iraq__May_2022.pdf,raw,0,-0.21826895,-0.0951249
doc_0053,"DOW-UAP-PR22, Unresolved UAP Report, Syria, July 2022",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR22__Unresolved_UAP_Report__Syria__July_2022.pdf,raw,0,-0.15306373,-0.101146035
doc_0055,"DOW-UAP-PR26, Unresolved UAP Report, United Arab Emirates, October 2023",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR26__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf,raw,0,-0.21539728,-0.1229299
doc_0056,"DOW-UAP-PR27, Unresolved UAP Report, United Arab Emirates, October 2023",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR27__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf,raw,0,-0.21994308,-0.11897108
doc_0054,"DOW-UAP-PR23, Unresolved UAP Report, Iraq, December 2022",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR23__Unresolved_UAP_Report__Iraq__December_2022.pdf,raw,0,-0.19358574,-0.09336067
doc_0057,"DOW-UAP-PR31, Unresolved UAP Report, Syria, October 2024",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR31__Unresolved_UAP_Report__Syria__October_2024.pdf,raw,0,-0.17959192,-0.1145685
doc_0058,"DOW-UAP-PR32, Unresolved UAP Report, Syria, October 2024",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR32__Unresolved_UAP_Report__Syria__October_2024.pdf,raw,0,-0.17572492,-0.116052605
doc_0059,"DOW-UAP-PR33, Unresolved UAP Report, Syria, October 2024",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR33__Unresolved_UAP_Report__Syria__October_2024.pdf,raw,0,-0.17342956,-0.11489439
doc_0060,"DOW-UAP-PR34, Unresolved UAP Report, Greece, October 2023",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR34__Unresolved_UAP_Report__Greece__October_2023.pdf,raw,0,-0.17418647,-0.1065813
doc_0061,"DOW-UAP-PR35, Unresolved UAP Report, Greece, October 2023",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR35__Unresolved_UAP_Report__Greece__October_2023.pdf,raw,0,-0.17060612,-0.107833885
doc_0063,Western US Event,Department of War,PDF,ufo_release/Department of War/PDF/Western_US_Event.pdf,raw,0,-0.018450722,-0.09771625
doc_0062,"DOW-UAP-PR36, Unresolved UAP Report, Middle East, May 2020",Department of War,PDF,ufo_release/Department of War/PDF/DOW-UAP-PR36__Unresolved_UAP_Report__Middle_East__May_2020.pdf,raw,0,-0.073257245,-0.123797216
doc_0064,"DOW-UAP-D10, Mission Report, Middle East, May 2022",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-D10__Mission_Report__Middle_East__May_2022.mp4,raw,0,0.0017950472,-0.22251748
doc_0067,"DOW-UAP-D18, Mission Report, Iraq, December 2022",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-D18__Mission_Report__Iraq__December_2022.mp4,raw,0,-0.011262403,-0.21954744
doc_0065,"DOW-UAP-D14, Mission Report, Iraq, May 2022",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-D14__Mission_Report__Iraq__May_2022.mp4,raw,0,-0.0043984815,-0.23016082
doc_0069,"DOW-UAP-D32, Mission Report, Syria, October 2024",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-D32__Mission_Report__Syria__October_2024.mp4,raw,0,0.008462976,-0.20652813
doc_0070,"DOW-UAP-D33, Mission Report, Greece, October 2023",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-D33__Mission_Report__Greece__October_2023.mp4,raw,0,-0.023520065,-0.22675861
doc_0066,"DOW-UAP-D16, Mission Report, Syria, July 2022",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-D16__Mission_Report__Syria__July_2022.mp4,raw,0,-0.041920852,-0.24802537
doc_0072,"DOW-UAP-D38, Range Fouler Debrief, Middle East, May 2020",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-D38__Range_Fouler_Debrief__Middle_East__May_2020.mp4,raw,0,-0.041243833,-0.18496451
doc_0071,"DOW-UAP-D35, Mission Report, Greece, October 2023",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-D35__Mission_Report__Greece__October_2023.mp4,raw,0,-0.11216439,-0.26914662
doc_0075,"DOW-UAP-PR37, Unresolved UAP Report, Middle East, 2020",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR37__Unresolved_UAP_Report__Middle_East__2020.mp4,raw,0,-0.050431,-0.24201947
doc_0068,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-D23__Mission_Report__United_Arab_Emirates__October_2023.mp4,raw,0,-0.12236103,-0.30277723
doc_0074,"DOW-UAP-PR29, Unresolved UAP Report, United Arab Emirates, June 2024",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR29__Unresolved_UAP_Report__United_Arab_Emirates__June_2024.mp4,raw,0,-0.12566563,-0.2892665
doc_0077,"DOW-UAP-PR39, Unresolved UAP Report, Middle East, 2020",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR39__Unresolved_UAP_Report__Middle_East__2020.mp4,raw,0,-0.036564764,-0.24692032
doc_0073,"DOW-UAP-PR28, Unresolved UAP Report, Greece, January 2024",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR28__Unresolved_UAP_Report__Greece__January_2024.mp4,raw,0,-0.117424406,-0.2583661
doc_0080,"DOW-UAP-PR42, Unresolved UAP Report, Middle East, 2020",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR42__Unresolved_UAP_Report__Middle_East__2020.mp4,raw,0,-0.050073087,-0.21340765
doc_0076,"DOW-UAP-PR38, Unresolved UAP Report, Middle East, 2013",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR38__Unresolved_UAP_Report__Middle_East__2013.mp4,raw,0,-0.1510699,-0.2481387
doc_0081,"DOW-UAP-PR43, Unresolved UAP Report, Africa, 2025",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR43__Unresolved_UAP_Report__Africa__2025.mp4,raw,0,-0.019484518,-0.21524405
doc_0082,"DOW-UAP-PR44, Unresolved UAP Report, Middle East, 2020",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR44__Unresolved_UAP_Report__Middle_East__2020.mp4,raw,0,-0.061937775,-0.20430782
doc_0078,"DOW-UAP-PR40, Unresolved UAP Report, Middle East, 2020",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR40__Unresolved_UAP_Report__Middle_East__2020.mp4,raw,0,-0.1567394,-0.28284875
doc_0084,"DOW-UAP-PR46, Unresolved UAP Report, INDOPACOM, 2024",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR46__Unresolved_UAP_Report__INDOPACOM__2024.mp4,raw,0,-0.012752285,-0.22311594
doc_0083,"DOW-UAP-PR45, Unresolved UAP Report, Middle East, 2020",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR45__Unresolved_UAP_Report__Middle_East__2020.mp4,raw,0,-0.08206157,-0.2696809
doc_0085,"DOW-UAP-PR47, Unresolved UAP Report, INDOPACOM, 2023",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR47__Unresolved_UAP_Report__INDOPACOM__2023.mp4,raw,0,-0.101147816,-0.22809872
doc_0088,FBI Photo A1,FBI,IMG,ufo_release/FBI/IMG/FBI_Photo_A1.png,raw,1,0.39633667,-0.014861269
doc_0079,"DOW-UAP-PR41, Unresolved UAP Report, Middle East, 2020",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR41__Unresolved_UAP_Report__Middle_East__2020.mp4,raw,0,-0.1357944,-0.28723338
doc_0089,FBI Photo A2,FBI,IMG,ufo_release/FBI/IMG/FBI_Photo_A2.png,raw,1,0.38500276,-0.050576292
doc_0090,FBI Photo A3,FBI,IMG,ufo_release/FBI/IMG/FBI_Photo_A3.png,raw,1,0.37963417,-0.022347445
doc_0091,FBI Photo A4,FBI,IMG,ufo_release/FBI/IMG/FBI_Photo_A4.png,raw,1,0.395532,-0.051235583
doc_0093,FBI Photo A6,FBI,IMG,ufo_release/FBI/IMG/FBI_Photo_A6.png,raw,1,0.4049632,-0.0042887153
doc_0092,FBI Photo A5,FBI,IMG,ufo_release/FBI/IMG/FBI_Photo_A5.png,raw,1,0.3960978,-0.020459885
doc_0094,FBI Photo A7,FBI,IMG,ufo_release/FBI/IMG/FBI_Photo_A7.png,raw,1,0.38047725,-0.015542677
doc_0095,FBI Photo A8,FBI,IMG,ufo_release/FBI/IMG/FBI_Photo_A8.png,raw,1,0.40018564,-0.02465556
doc_0096,65_HS1-101634279_100-DE-18221_Serial_844,FBI,PDF,ufo_release/FBI/PDF/65_HS1-101634279_100-DE-18221_Serial_844.pdf,raw,3,-0.023341082,0.26732025
doc_0097,65_HS1-101634279_100-DE-26505,FBI,PDF,ufo_release/FBI/PDF/65_HS1-101634279_100-DE-26505.pdf,raw,3,-0.0958255,0.27201906
doc_0087,"DOW-UAP-PR49, Unresolved UAP Report, Department of the Army, 2026",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR49__Unresolved_UAP_Report__Department_of_the_Army__2026.mp4,raw,0,-0.07403561,-0.2371171
doc_0086,"DOW-UAP-PR48, Unresolved UAP Report, INDOPACOM, 2024",Department of War,VID,ufo_release/Department of War/VID/DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4,raw,0,-0.15253259,-0.22689603
doc_0098,65_HS1-834228961_62-HQ-83894_SUB_A,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_SUB_A.pdf,raw,3,-0.10648169,0.34000924
doc_0099,65_HS1-834228961_62-HQ-83894_Section_1,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_1.pdf,raw,3,-0.08342406,0.34194216
doc_0100,65_HS1-834228961_62-HQ-83894_Section_10,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_10.pdf,raw,3,-0.088771686,0.33251122
doc_0101,65_HS1-834228961_62-HQ-83894_Section_2,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_2.pdf,raw,3,-0.0847796,0.33358452
doc_0102,65_HS1-834228961_62-HQ-83894_Section_3,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_3.pdf,raw,3,-0.08581391,0.336207
doc_0103,65_HS1-834228961_62-HQ-83894_Section_4,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_4.pdf,raw,3,-0.08768713,0.3433524
doc_0104,65_HS1-834228961_62-HQ-83894_Section_5,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_5.pdf,raw,3,-0.08386392,0.3349883
doc_0105,65_HS1-834228961_62-HQ-83894_Section_6,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_6.pdf,raw,3,-0.0882572,0.33928984
doc_0106,65_HS1-834228961_62-HQ-83894_Section_7,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_7.pdf,raw,3,-0.08996509,0.34827206
doc_0107,65_HS1-834228961_62-HQ-83894_Section_8,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_8.pdf,raw,3,-0.09518511,0.34190476
doc_0108,65_HS1-834228961_62-HQ-83894_Section_9,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_9.pdf,raw,3,-0.090363264,0.33862594
doc_0109,65_HS1-834228961_62-HQ-83894_Serial_130,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_130.pdf,raw,3,-0.092049435,0.32840294
doc_0110,65_HS1-834228961_62-HQ-83894_Serial_153,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_153.pdf,raw,3,0.0031424959,0.30449805
doc_0111,65_HS1-834228961_62-HQ-83894_Serial_164,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_164.pdf,raw,3,-0.09866885,0.31721178
doc_0112,65_HS1-834228961_62-HQ-83894_Serial_220,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_220.pdf,raw,3,-0.055457853,0.31327146
doc_0114,65_HS1-834228961_62-HQ-83894_Serial_438,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_438.pdf,raw,3,-0.06526061,0.32107213
doc_0113,65_HS1-834228961_62-HQ-83894_Serial_403,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_403.pdf,raw,3,-0.03955666,0.315179
doc_0115,65_HS1-834228961_62-HQ-83894_Serial_449,FBI,PDF,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_449.pdf,raw,3,-0.078761436,0.3595036
doc_0118,FBI Photo B11,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B11.pdf,raw,1,0.43033648,-0.0030045782
doc_0117,FBI Photo B10,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B10.pdf,raw,1,0.41958308,-0.005456121
doc_0116,FBI Photo B1,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B1.pdf,raw,1,0.412025,-0.0104085645
doc_0119,FBI Photo B12,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B12.pdf,raw,1,0.4093681,-0.014410817
doc_0120,FBI Photo B13,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B13.pdf,raw,1,0.38133094,-0.0087795025
doc_0121,FBI Photo B14,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B14.pdf,raw,1,0.4117813,-8.673879e-05
doc_0122,FBI Photo B15,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B15.pdf,raw,1,0.39952555,0.004667545
doc_0123,FBI Photo B16,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B16.pdf,raw,1,0.40988386,-0.0044117444
doc_0124,FBI Photo B17,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B17.pdf,raw,1,0.40399623,0.0020708486
doc_0126,FBI Photo B19,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B19.pdf,raw,1,0.42574826,0.014387191
doc_0125,FBI Photo B18,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B18.pdf,raw,1,0.3755441,-0.008138386
doc_0128,FBI Photo B20,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B20.pdf,raw,1,0.43668634,0.0077526583
doc_0127,FBI Photo B2,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B2.pdf,raw,1,0.42108074,0.0022942666
doc_0130,FBI Photo B22,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B22.pdf,raw,1,0.37638846,-0.0064723305
doc_0129,FBI Photo B21,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B21.pdf,raw,1,0.44255066,0.005254004
doc_0131,FBI Photo B23,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B23.pdf,raw,1,0.3967405,0.011237438
doc_0132,FBI Photo B24,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B24.pdf,raw,1,0.41089985,-0.008300219
doc_0134,FBI Photo B4,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B4.pdf,raw,1,0.42419094,-0.0056413375
doc_0133,FBI Photo B3,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B3.pdf,raw,1,0.38078552,0.002293088
doc_0135,FBI Photo B5,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B5.pdf,raw,1,0.4106741,-0.005085837
doc_0136,FBI Photo B6,FBI,PDF,ufo_release/FBI/PDF/FBI_Photo_B6.pdf,raw,1,0.39000475,-0.0040597063
