embedding_id,document_id,chunk_id,title,agency,file_group,output_path,source_filename,mime_type,metadata_text,chunk_kind,page_start,page_end,video_duration_sec,source_part_count,skip_reason
doc_0011__pdf_pages_0007_0012,doc_0011,pdf_pages_0007_0012,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,PDF,ufo_release/Department of War/PDF/331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf,331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf,image/jpeg,"Title: 331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 3/18/45
Incident location: Germany
Filename: 331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf",pdf_page_images,7.0,12.0,,6,
doc_0011__pdf_pages_0013_0017,doc_0011,pdf_pages_0013_0017,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,PDF,ufo_release/Department of War/PDF/331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf,331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf,image/jpeg,"Title: 331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 3/18/45
Incident location: Germany
Filename: 331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf",pdf_page_images,13.0,17.0,,5,
doc_0012__pdf_pages_0001_0006,doc_0012,pdf_pages_0001_0006,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Department of War,PDF,ufo_release/Department of War/PDF/341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf,image/jpeg,"Title: 341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 11/8/48
Incident location: Netherlands
Filename: 341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf",pdf_page_images,1.0,6.0,,6,
doc_0012__pdf_pages_0007_0007,doc_0012,pdf_pages_0007_0007,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Department of War,PDF,ufo_release/Department of War/PDF/341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf,image/jpeg,"Title: 341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 11/8/48
Incident location: Netherlands
Filename: 341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No_2_2-5300-2-5399.pdf",pdf_page_images,7.0,7.0,,1,
doc_0013__pdf_pages_0001_0006,doc_0013,pdf_pages_0001_0006,"341_110677_Numerical_File,_5-2500",Department of War,PDF,ufo_release/Department of War/PDF/341_110677_Numerical_File__5-2500.pdf,341_110677_Numerical_File__5-2500.pdf,image/jpeg,"Title: 341_110677_Numerical_File,_5-2500
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 10/14/55
Incident location: Azerbaijan
Filename: 341_110677_Numerical_File__5-2500.pdf",pdf_page_images,1.0,6.0,,6,
doc_0013__pdf_pages_0007_0010,doc_0013,pdf_pages_0007_0010,"341_110677_Numerical_File,_5-2500",Department of War,PDF,ufo_release/Department of War/PDF/341_110677_Numerical_File__5-2500.pdf,341_110677_Numerical_File__5-2500.pdf,image/jpeg,"Title: 341_110677_Numerical_File,_5-2500
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 10/14/55
Incident location: Azerbaijan
Filename: 341_110677_Numerical_File__5-2500.pdf",pdf_page_images,7.0,10.0,,4,
doc_0014__pdf_pages_0001_0006,doc_0014,pdf_pages_0001_0006,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,1.0,6.0,,6,
doc_0014__pdf_pages_0007_0012,doc_0014,pdf_pages_0007_0012,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,7.0,12.0,,6,
doc_0014__pdf_pages_0013_0018,doc_0014,pdf_pages_0013_0018,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,13.0,18.0,,6,
doc_0014__pdf_pages_0019_0024,doc_0014,pdf_pages_0019_0024,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,19.0,24.0,,6,
